Instituição;Código;TCB;SR;TD;TC;Cidade;UF;Data;Ativo Total;Carteira de Crédito;Títulos e Valores Mobiliários;Passivo Exigível;Captações;Patrimônio Líquido;Lucro Líquido;Número de Agências;Número de Postos de Atendimento
CREDISIS/CREDISUL COOPERATIVA DE CRÉDITO;7494300;b3S;S5;I;2;ERECHIM;RS;dez/25;92.214;42.937;1.643;83.247;79.045;8.967;402;0;1
GRAZZIOTIN FINANCEIRA S/A - CRÉDITO, FINANCIAMENTO E INVESTIMENTOS;6339468;n1;S5;I;2;PASSO FUNDO;RS;dez/25;92.006;84.247;0;66.073;58.234;25.933;5.741;2;0
SICOOB CREDIMED - COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DA CIDADE DE UBERABA LTDA.;71336432;b3S;S5;I;2;UBERABA;MG;dez/25;91.893;46.147;2.185;77.891;76.065;14.002;-218;0;0
ID CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.;16695922;n2;S4;I;2;SAO PAULO;SP;dez/25;90.071;0;10.366;81.093;68.955;8.977;3.508;2;0
FORIS GFS BR INSTITUICAO DE PAGAMENTO LTDA;39993186;n4;NA;I;3;SAO PAULO;SP;dez/25;89.853;0;40.531;64.952;4.929;24.901;-978;1;0
NSTECH IP INSTITUICAO DE PAGAMENTO S.A.;1648418;n4;NA;I;2;ITAJAI;SC;dez/25;89.142;0;34.352;70.525;15.982;18.617;6.312;1;0
COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS EMPRESÁRIOS DE AMERICANA, LIMEIRA E REGIÃO - SICOOB ACICRED;9579249;b3S;S5;I;2;AMERICANA;SP;dez/25;88.718;38.686;29.440;78.294;75.231;10.424;413;0;7
COOPERATIVA DE CRÉDITO - SICREDI LENÇÓIS;5545390;b3S;S4;I;2;SAO LUIS;MA;dez/25;88.075;43.707;25.898;69.540;60.900;18.535;812;0;2
SEFER INVESTIMENTOS DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA;329598;n2;S4;I;3;SAO PAULO;SP;dez/25;86.976;0;6.164;73.249;51.461;13.727;2.321;2;0
LIONS TRUST DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.;40768766;n2;S4;I;2;SAO PAULO;SP;dez/25;85.260;0;994;82.771;77.730;2.489;3.399;2;0
COOPERATIVA DE CRÉDITO MÚTUO DOS SERVIDORES MUNICIPAIS DE SÃO JOÃO DA BOA VISTA - CREDIVISTA;74248949;b3S;S5;I;2;SAO JOAO DA BOA VISTA;SP;dez/25;84.613;64.614;8.844;58.754;56.816;25.859;149;0;1
TRUSTEE/BANVOX - FINANCEIRO;86354;n2;S4;C;2;SAO PAULO;SP;dez/25;84.239;0;1.931;65.814;52.811;18.425;-3.643;4;0
MOVA SOCIEDADE DE EMPRÉSTIMO ENTRE PESSOAS S.A.;33959738;n1;S5;I;3;SAO PAULO;SP;dez/25;84.174;0;5.028;39.146;215;45.028;-2.364;2;0
FACILITA INSTITUICAO DE PAGAMENTO S/A;10789035;n4;NA;I;2;NOVA LIMA;MG;dez/25;83.865;0;60.967;78.172;88;5.692;3.895;1;0
COOPERÁGUIA - COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS EMPREGADOS DO GRUPO ÁGUIA BRANCA;27171974;b3S;S5;I;2;CARIACICA;ES;dez/25;83.377;31.353;38.695;21.018;0;62.359;3.633;0;0
DIREÇÃO S.A. - SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO;58158387;n1;S5;I;2;SANTOS;SP;dez/25;83.125;3.527;65.859;1.625;0;81.500;1.369;3;0
COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS EMPREGADOS DO BANRISUL;92935741;b3S;S5;I;2;PORTO ALEGRE;RS;dez/25;82.440;69.129;12.727;41.376;34.683;41.064;-433;0;0
COOPERATIVA DE CRÉDITO MÚTUO DOS EMPREGADOS DO MAGAZINE LUIZA, EMPRESAS CONTROLADAS E COLIGADAS - COOPLUIZA;2093154;b3S;S5;I;2;FRANCA;SP;dez/25;82.435;29.445;52.170;10.062;0;72.373;7.600;0;0
ARTTA SOCIEDADE DE CRÉDITO DIRETO S.A;42259084;n1;S5;I;2;CURITIBA;PR;dez/25;82.141;0;74.207;81.667;80.798;474;-4.881;2;0
AGÊNCIA DE FOMENTO DO ESTADO DO TOCANTINS S.A.;5474540;n1;S4;I;1;PALMAS;TO;dez/25;81.913;48.184;32.609;35.853;34.929;46.060;545;1;0
COOPERATIVA DE CRÉDITO DOS CONTADORES, ADMINISTRADORES DE EMPRESAS, ECONOMISTAS E CORRETORES DE SEGUROS LTDA. - SICOOB CREDITABIL;2217068;b3S;S5;I;2;BELO HORIZONTE;MG;dez/25;81.535;5.646;1.767;68.641;67.112;12.894;1.401;0;0
BANCO INDUSCRED DE INVESTIMENTO S.A.;33588252;b2;S4;I;2;SAO PAULO;SP;dez/25;81.531;12.535;62.585;2.337;1.966;79.194;777;2;0
BANCO RNX S.A.;80271455;b2;S4;I;2;CURITIBA;PR;dez/25;81.325;62.563;3.372;60.626;55.134;20.698;-326;2;0
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO DA ADVOCACIA E SERVENTUÁRIOS DO PODER JUDICIÁRIO NO ESTADO DO RIO GRANDE DO SUL - SICREDI COOABCRED RS;19962468;b3S;S4;I;2;PORTO ALEGRE;RS;dez/25;80.336;28.787;35.623;70.256;61.639;10.079;1.268;0;1
INOVANTI INSTITUIÇÃO DE PAGAMENTO S.A.;37511258;n4;NA;I;2;SAO PAULO;SP;dez/25;79.259;0;49.482;66.845;59.441;12.414;-3.501;1;0
SICOOB CREDICONSUMO - COOPERATIVA DE CRÉDITO;47074323;b3S;S5;I;2;SANTO ANDRE;SP;dez/25;79.025;50.207;25.371;42.280;39.433;36.744;-66;0;6
HINOVA PAY INSTITUICAO DE PAGAMENTO S.A.;27970567;n4;NA;I;2;BELO HORIZONTE;MG;dez/25;78.852;0;12.596;62.565;55.819;16.286;4.493;1;0
ACCREDITO - SOCIEDADE DE CRÉDITO DIRETO S.A.;37715993;n1;S5;I;2;SAO PAULO;SP;dez/25;78.606;3.248;68.398;6.670;4.872;71.935;1.077;2;0
PAGSMILE INSTITUIÇÃO DE PAGAMENTO LTDA.;37753531;n4;NA;I;3;SAO PAULO;SP;dez/25;78.278;0;61.182;66.242;55.774;12.036;1.347;1;0
99PAY SOCIEDADE DE CRÉDITO DIRETO S.A.;59379565;n1;S5;C;3;SAO PAULO;SP;dez/25;77.442;2;72.703;1.009;0;76.433;1.487;2;0
COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS SERVIDORES DA FUNDAÇÃO HOSPITALAR E EMPREGADOS DOS ESTABELECIMENTOS HOSPITALARES DE BELO HORIZONTE, REGIÃO METROPOLITANA E ZONA DA MATA LTDA.- SICOOB CECREF;19402130;b3S;S5;I;2;BELO HORIZONTE;MG;dez/25;77.435;39.272;16.118;44.906;37.217;32.529;1.472;0;4
COOPERATIVA DE ECONOMIA E CREDITO MUTUO DOS EMPREGADOS DAS EMPRESAS RANDON;89280960;b3S;S5;I;2;CAXIAS DO SUL;RS;dez/25;77.085;32.133;13.259;11.014;6.787;66.070;1.543;0;0
COOPERATIVA DE CRÉDITO CREDIPIMENTA LTDA. - SICOOB CREDIPIMENTA;42934794;b3S;S5;I;2;PIMENTA;MG;dez/25;76.768;22.845;2.365;64.229;56.235;12.539;1.165;0;0
AGÊNCIA DE FOMENTO DO ESTADO DE PERNAMBUCO S.A.;13178690;n1;S4;I;1;RECIFE;PE;dez/25;76.653;21.521;53.926;12.869;9.432;63.785;-711;1;0
BANCO CEDULA S.A.;33132044;b1;S4;I;2;RIO DE JANEIRO;RJ;dez/25;75.962;0;218;17.356;1.495;58.607;-1.944;2;0
COOPERATIVA DE CRÉDITO CLÁSSICA DOS EMPREGADOS DA VALE S/A E ENTIDADES VINCULADAS LTDA. - SICOOB COOPVALE;33924028;b3S;S5;I;2;RIO DE JANEIRO;RJ;dez/25;75.221;33.858;3.952;66.757;63.840;8.464;-1.681;0;6
COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS SERVIDORES PÚBLICOS DO ESTADO DE SÃO PAULO - CREDIPAULISTA;3139644;b3S;S5;I;2;SAO PAULO;SP;dez/25;73.624;3.815;65.335;5.762;0;67.862;3.215;0;0
CREFAZ SOCIEDADE DE CRÉDITO AO MICROEMPREENDEDOR E A EMPRESA DE PEQUENO PORTE S.A.;18188384;n1;S5;I;2;MARINGA;PR;dez/25;73.529;2.175;23.734;17.186;0;56.343;17.726;2;0
NUPAY FOR BUSINESS INSTITUICAO DE PAGAMENTO LTDA.;32219232;n4;S2;C;3;SAO PAULO;SP;dez/25;70.662;0;58.418;3.497;0;67.165;4.453;1;0
LECCA CRÉDITO, FINANCIAMENTO E INVESTIMENTO S/A;7652226;n1;S4;I;2;RIO DE JANEIRO;RJ;dez/25;70.122;27.268;21.510;52.644;45.689;17.478;6.797;2;0
COOPERATIVA DE CREDITO SICOOB COOPEC LTDA.;32615247;b3S;S5;I;2;ITABUNA;BA;dez/25;69.474;37.528;9.501;35.780;32.244;33.694;1.194;0;1
COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DO GRUPO BASF;74244344;b3S;S5;I;2;SAO BERNARDO DO CAMPO;SP;dez/25;68.290;28.012;39.894;9.419;0;58.871;4.654;0;1
HEMERA DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.;39669186;n2;S4;I;2;CURITIBA;PR;dez/25;67.197;0;4.153;59.900;51.165;7.297;6.726;2;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DA REGIÃO SUL DO MARANHÃO - SICREDI SUL DO MARANHÃO;26191078;b3S;S4;I;2;IMPERATRIZ;MA;dez/25;66.009;13.316;19.751;56.299;50.528;9.710;224;0;2
SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO EFÍ S.A.;37229413;n1;S4;C;2;OURO PRETO;MG;dez/25;65.703;50.142;0;58.375;54.801;7.327;1.193;2;0
COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS FUNCIONÁRIOS DA CARGILL;68228006;b3S;S5;I;2;SAO PAULO;SP;dez/25;65.181;34.003;31.109;17.017;9.447;48.164;3.128;0;0
CAPITAL CONSIG SOCIEDADE DE CRÉDITO DIRETO S.A.;40083667;n1;S5;I;2;SAO PAULO;SP;dez/25;64.452;19.670;0;38.879;345;25.573;1.614;2;0
J17 - SOCIEDADE DE CRÉDITO DIRETO S/A;40475846;n1;S5;C;2;LONDRINA;PR;dez/25;64.101;18.999;0;43.294;35.473;20.806;5.003;2;0
ISSUER INSTITUICAO DE PAGAMENTO LTDA.;34747388;n4;NA;I;3;PORTO ALEGRE;RS;dez/25;63.874;10;16.677;42.057;7.070;21.817;-72;1;0
OM DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA;11495073;n2;S4;I;2;SAO PAULO;SP;dez/25;63.518;0;19.239;20.234;5.071;43.285;3.047;2;0
H H PICCHIONI S/A CORRETORA DE CAMBIO E VALORES MOBILIARIOS;17312083;n2;S4;I;2;BELO HORIZONTE;MG;dez/25;62.393;0;1;58.560;0;3.833;669;3;0
PETRA;51688;b1;S4;C;2;CURITIBA;PR;dez/25;61.810;0;21.485;44.255;14.449;17.556;-269;4;0
VALOR S/A SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO;7799277;n1;S5;I;2;SAO PAULO;SP;dez/25;61.100;53.686;2.384;20.598;4.898;40.502;4.035;2;0
COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS EMPREGADOS DA CENTRAIS ELÉTRICAS DE SANTA CATARINA - CREDELESC;8850613;b3S;S5;I;2;FLORIANOPOLIS;SC;dez/25;60.781;28.927;2.331;49.080;46.011;11.701;495;0;5
SMART SOLUTIONS GROUP INSTITUICAO DE PAGAMENTO LTDA;37470405;n4;NA;I;2;RIO DE JANEIRO;RJ;dez/25;59.517;0;8.192;18.823;6.691;40.694;6.104;1;0
COOPERATIVA DE CAPITAL E EMPRÉSTIMO COOPERMULTICRED - COOPERMC;51010858;b3S;S5;I;2;GUARULHOS;SP;dez/25;58.833;49.861;8.947;802;0;58.031;3.066;0;0
AGÊNCIA DE FOMENTO DE ALAGOAS S.A.;10769660;n1;S4;I;1;MACEIO;AL;dez/25;58.212;21.977;33.989;18.458;16.397;39.754;-3.551;1;0
